Ward,Name,opening_hour,Opening time,Post_code,Address,latitude,longitude
,Matthews Yard,16,,CR0 1UF,"North End 166, London, CR0 1UF.",51.3782649,-0.1026352
,MHA Communities South London,2,,CR0 2RF,"West Croydon Methodist Church, London Road, Croydon, CR0 2RF.",51.3796812,-0.1045741
,MHA The Wilderness,3,,CR9 5AL,"Shirley Church Road, London, CR9 5AL.",51.3713916,-0.0525899
,New Addington Baptist Church,7,,CR0 0EE,"New Addington Baptist Church, Arnhem Drive, Croydon, CR0 0EE.",51.3391551,-0.0078401
,New Addington Library,24,,CR0 0JD,"Central Parade, New Addington, CR0 0JD.",51.3410328,-0.0140906
,Norbury Library,24,,SW16 4UW,"Beatrice Avenue, London, SW16 4UW.",51.4050835,-0.1228768
,Oasis Academy Shirley Park,12,,CR9 7AL,"Shirley Road, Croydon, CR9 7AL.",51.3829059,-0.0631095
,Old Coulsdon Congregational Church,8,,CR5 2LG,"Coulsdon Road 1, London, CR5 2LG.",51.3209369,-0.1272757
,Palace For Life Foundation,4,,SE25 6PU,"Selhurst Park, London, se25 6pu.",51.397894,-0.0859234
,Phoenix Community Centre,16,,SE19 3AB,"Phoenix Community Centre, Westow Street, London, SE19 3AB.",51.4167948,-0.0825021
,Purley Library,16,,CR8 3YH,"Banstead Road, London, CR8 3YH.",51.3391447,-0.1186946
,Purley United Reform Church,7,,CR8 2LN,"Brighton Road 922, London, CR8 2LN.",51.3395548,-0.1156771
,"Quiz, Craft and Tea at Christ Church, Broad Green",3,,CR0 3LJ,"Sumner Road, London, CR0 3LJ.",51.3817631,-0.1109837
,Sanderstead Library,24,,CR2 0HQ,"Farm Fields, London, CR2 0HQ.",51.3412551,-0.0835745
,Selsdon Library,24,,CR2 8LA,"Addington Road 130, London, CR2 8LA",51.3423919,-0.0624776
,Shirley Library,16,,CR0 8BH,"Wickham Road, London, CR0 8BH.",51.3751387,-0.0448586
,South Norwood Community Kitchen,23,,SE25 4UF,"44b Portland Road, London, SE25 4UF.",51.3983017,-0.072393
,South Norwood Library,16,,SE25 5AA,"Lawrence Road, London, SE25 5AA.",51.3969105,-0.0774829
,St Alban the Martyr Church,2,,SE25 6RE,"1 Whitehorse Lane, London, SE25 6RE.",51.3978802,-0.0916887
,St Andrew's Roman Catholic Church,5,,CR7 7DA,"St. Andrew's Church Hall, Quadrant Road, London, CR7 7DA.",51.3982839,-0.1054872
,St Francis Monks Hill,3.5,,CR2 8HP,"107 Broadcoombe,, 107 Broadcoombe,, Croydon, CR2 8HP.",51.3528055,-0.0554175
,St George's Church Centre,3.5,,CR0 4EZ,"Barrow Road, London, CR0 4EZ.",51.3602424,-0.1125874
,St Mary the Blessed Virgin,6,,CR0 5AS,"Addington Village Road, London, CR0 5AS.",51.3586135,-0.0311125
,St Michael's Church,3,,CR0 1UA,"Poplar Walk, London, CR0 1UA.",51.3781127,-0.1015638
,St Mildred's Parish Church,2.5,,CR0 7EB,"St Mildred's Parish Church, 30 Bingham Road, Croydon, CR0 7EB.",51.3790613,-0.072095
,St Oswald's Parish Hall,4,,SW16 3SB,"St. Oswald's Road, London, SW16 3SB.",51.4129847,-0.1081295
,St Paul's United Reformed Church,3,,CR2 7AE,"St Paul's United Reformed Church, Croham Road, London, CR2 7AE.",51.35954,-0.089232
,St. Edward King and Confessor Church,6,,CR0 0DL,"St. Edward King and Confessor Church, Cleves Crescent, Croydon, CR0 0DL.",51.3385538,-0.0137384
